country,year,population,e_waste_generated_kt,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,gdp_per_capita,average_household_size,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh
 Ecuador,2019,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2
Argentina,2018,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3
Argentina,2019,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3
Argentina,2020,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3
Argentina,2021,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3
Argentina,2022,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3
Bolivia (Plurinational State of),2018,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2
Bolivia (Plurinational State of),2019,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2
Bolivia (Plurinational State of),2020,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2
Bolivia (Plurinational State of),2021,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2
Bolivia (Plurinational State of),2022,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2
Chile (Republic of),2018,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4
Chile (Republic of),2019,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4
Chile (Republic of),2020,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4
Chile (Republic of),2021,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4
Chile (Republic of),2022,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4
Ecuador,2018,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2
Ecuador,2020,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2
Ecuador,2021,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2
Ecuador,2022,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2
Guatemala,2018,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,
Guatemala,2019,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,
Guatemala,2020,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,
Guatemala,2021,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,
Guatemala,2022,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,
Honduras,2018,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1
Honduras,2019,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1
Honduras,2020,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1
Honduras,2021,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1
Honduras,2022,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1
Nicaragua,2018,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01
Nicaragua,2019,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01
Nicaragua,2020,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01
Nicaragua,2021,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01
Nicaragua,2022,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01
Panama,2018,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02
Panama,2019,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02
Panama,2020,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02
Panama,2021,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02
Panama,2022,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02
Peru,2018,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1
Peru,2019,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1
Peru,2020,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1
Peru,2021,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1
Peru,2022,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1
Uruguay,2018,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4
Uruguay,2019,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4
Uruguay,2020,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4
Uruguay,2021,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4
Uruguay,2022,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4
Venezuela,2018,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04
Venezuela,2019,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04
Venezuela,2020,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04
Venezuela,2021,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04
Venezuela,2022,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04
