country,year,category,kt,value,e_waste_generated_kt_x,share_x,population,e_waste_generated_kt_y,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,gdp_per_capita,average_household_size,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh,share_y
Argentina,2018,temperature_exchange_equipment_kt,98,,454.0,0.21585903083700442,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,temperature_exchange_equipment_kt,9,,75.0,0.12,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,temperature_exchange_equipment_kt,46,,196.0,0.23469387755102042,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,temperature_exchange_equipment_kt,18,,92.0,0.1956521739130435,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,temperature_exchange_equipment_kt,14,,73.0,0.1917808219178082,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,temperature_exchange_equipment_kt,7,,29.0,0.2413793103448276,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,temperature_exchange_equipment_kt,4,,17.0,0.23529411764705882,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,temperature_exchange_equipment_kt,10,,44.0,0.22727272727272727,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,temperature_exchange_equipment_kt,32,,186.0,0.17204301075268819,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,temperature_exchange_equipment_kt,10,,40.0,0.25,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,temperature_exchange_equipment_kt,76,,291.0,0.2611683848797251,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,temperature_exchange_equipment_kt,103,,471.0,0.21868365180467092,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,temperature_exchange_equipment_kt,10,,80.0,0.125,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,temperature_exchange_equipment_kt,48,,205.0,0.23414634146341465,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,temperature_exchange_equipment_kt,19,,97.0,0.1958762886597938,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,temperature_exchange_equipment_kt,15,,78.0,0.19230769230769232,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,temperature_exchange_equipment_kt,8,,30.0,0.26666666666666666,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,temperature_exchange_equipment_kt,4,,18.0,0.2222222222222222,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,temperature_exchange_equipment_kt,11,,47.0,0.23404255319148937,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,temperature_exchange_equipment_kt,34,,196.0,0.17346938775510204,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,temperature_exchange_equipment_kt,10,,41.0,0.24390243902439024,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2019,temperature_exchange_equipment_kt,80,,297.0,0.26936026936026936,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2020,temperature_exchange_equipment_kt,106,,487.0,0.21765913757700206,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2020,temperature_exchange_equipment_kt,11,,82.0,0.13414634146341464,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2020,temperature_exchange_equipment_kt,50,,214.0,0.2336448598130841,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2020,temperature_exchange_equipment_kt,20,,101.0,0.19801980198019803,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2020,temperature_exchange_equipment_kt,16,,82.0,0.1951219512195122,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2020,temperature_exchange_equipment_kt,8,,32.0,0.25,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2020,temperature_exchange_equipment_kt,4,,19.0,0.21052631578947367,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2020,temperature_exchange_equipment_kt,11,,50.0,0.22,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2020,temperature_exchange_equipment_kt,36,,204.0,0.17647058823529413,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2020,temperature_exchange_equipment_kt,11,,42.0,0.2619047619047619,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2020,temperature_exchange_equipment_kt,83,,301.0,0.2757475083056478,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2021,temperature_exchange_equipment_kt,110,,502.0,0.21912350597609562,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2021,temperature_exchange_equipment_kt,11,,85.0,0.12941176470588237,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2021,temperature_exchange_equipment_kt,52,,222.0,0.23423423423423423,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2021,temperature_exchange_equipment_kt,21,,105.0,0.2,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2021,temperature_exchange_equipment_kt,17,,87.0,0.19540229885057472,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2021,temperature_exchange_equipment_kt,9,,34.0,0.2647058823529412,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2021,temperature_exchange_equipment_kt,5,,20.0,0.25,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2021,temperature_exchange_equipment_kt,12,,52.0,0.23076923076923078,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2021,temperature_exchange_equipment_kt,39,,212.0,0.18396226415094338,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2021,temperature_exchange_equipment_kt,11,,43.0,0.2558139534883721,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2021,temperature_exchange_equipment_kt,85,,303.0,0.28052805280528054,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2022,temperature_exchange_equipment_kt,114,,517.0,0.2205029013539652,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2022,temperature_exchange_equipment_kt,12,,89.0,0.1348314606741573,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2022,temperature_exchange_equipment_kt,54,,230.0,0.23478260869565218,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2022,temperature_exchange_equipment_kt,22,,108.0,0.2037037037037037,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2022,temperature_exchange_equipment_kt,18,,92.0,0.1956521739130435,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2022,temperature_exchange_equipment_kt,9,,36.0,0.25,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2022,temperature_exchange_equipment_kt,5,,21.0,0.23809523809523808,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2022,temperature_exchange_equipment_kt,13,,54.0,0.24074074074074073,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2022,temperature_exchange_equipment_kt,42,,221.0,0.19004524886877827,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2022,temperature_exchange_equipment_kt,11,,44.0,0.25,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2022,temperature_exchange_equipment_kt,86,,303.0,0.2838283828382838,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2018,screens_kt,47,,454.0,0.10352422907488987,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,screens_kt,5,,75.0,0.06666666666666667,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,screens_kt,20,,196.0,0.10204081632653061,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,screens_kt,8,,92.0,0.08695652173913043,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,screens_kt,7,,73.0,0.0958904109589041,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,screens_kt,4,,29.0,0.13793103448275862,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,screens_kt,2,,17.0,0.11764705882352941,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,screens_kt,4,,44.0,0.09090909090909091,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,screens_kt,25,,186.0,0.13440860215053763,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,screens_kt,5,,40.0,0.125,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,screens_kt,25,,291.0,0.0859106529209622,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,screens_kt,47,,471.0,0.09978768577494693,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,screens_kt,5,,80.0,0.0625,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,screens_kt,21,,205.0,0.1024390243902439,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,screens_kt,9,,97.0,0.09278350515463918,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,screens_kt,7,,78.0,0.08974358974358974,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,screens_kt,4,,30.0,0.13333333333333333,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,screens_kt,2,,18.0,0.1111111111111111,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,screens_kt,4,,47.0,0.0851063829787234,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,screens_kt,25,,196.0,0.12755102040816327,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,screens_kt,5,,41.0,0.12195121951219512,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2019,screens_kt,25,,297.0,0.08417508417508418,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2020,screens_kt,47,,487.0,0.09650924024640657,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2020,screens_kt,5,,82.0,0.06097560975609756,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2020,screens_kt,21,,214.0,0.09813084112149532,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2020,screens_kt,9,,101.0,0.0891089108910891,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2020,screens_kt,8,,82.0,0.0975609756097561,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2020,screens_kt,4,,32.0,0.125,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2020,screens_kt,2,,19.0,0.10526315789473684,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2020,screens_kt,4,,50.0,0.08,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2020,screens_kt,24,,204.0,0.11764705882352941,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2020,screens_kt,5,,42.0,0.11904761904761904,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2020,screens_kt,25,,301.0,0.08305647840531562,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2021,screens_kt,47,,502.0,0.09362549800796813,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2021,screens_kt,6,,85.0,0.07058823529411765,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2021,screens_kt,22,,222.0,0.0990990990990991,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2021,screens_kt,10,,105.0,0.09523809523809523,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2021,screens_kt,8,,87.0,0.09195402298850575,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2021,screens_kt,4,,34.0,0.11764705882352941,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2021,screens_kt,2,,20.0,0.1,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2021,screens_kt,4,,52.0,0.07692307692307693,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2021,screens_kt,24,,212.0,0.11320754716981132,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2021,screens_kt,4,,43.0,0.09302325581395349,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2021,screens_kt,25,,303.0,0.08250825082508251,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2022,screens_kt,46,,517.0,0.08897485493230174,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2022,screens_kt,6,,89.0,0.06741573033707865,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2022,screens_kt,22,,230.0,0.09565217391304348,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2022,screens_kt,10,,108.0,0.09259259259259259,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2022,screens_kt,8,,92.0,0.08695652173913043,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2022,screens_kt,4,,36.0,0.1111111111111111,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2022,screens_kt,2,,21.0,0.09523809523809523,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2022,screens_kt,4,,54.0,0.07407407407407407,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2022,screens_kt,24,,221.0,0.1085972850678733,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2022,screens_kt,4,,44.0,0.09090909090909091,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2022,screens_kt,25,,303.0,0.08250825082508251,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2018,lamps_kt,8,,454.0,0.01762114537444934,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,lamps_kt,2,,75.0,0.02666666666666667,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,lamps_kt,3,,196.0,0.015306122448979591,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,lamps_kt,3,,92.0,0.03260869565217391,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,lamps_kt,3,,73.0,0.0410958904109589,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,lamps_kt,1,,29.0,0.034482758620689655,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,lamps_kt,1,,17.0,0.058823529411764705,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,lamps_kt,1,,44.0,0.022727272727272728,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,lamps_kt,7,,186.0,0.03763440860215054,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,lamps_kt,2,,40.0,0.05,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,lamps_kt,6,,291.0,0.020618556701030927,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,lamps_kt,9,,471.0,0.01910828025477707,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,lamps_kt,2,,80.0,0.025,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,lamps_kt,4,,205.0,0.01951219512195122,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,lamps_kt,3,,97.0,0.030927835051546393,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,lamps_kt,3,,78.0,0.038461538461538464,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,lamps_kt,1,,30.0,0.03333333333333333,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,lamps_kt,1,,18.0,0.05555555555555555,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,lamps_kt,1,,47.0,0.02127659574468085,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,lamps_kt,7,,196.0,0.03571428571428571,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,lamps_kt,2,,41.0,0.04878048780487805,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2019,lamps_kt,7,,297.0,0.02356902356902357,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2020,lamps_kt,10,,487.0,0.02053388090349076,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2020,lamps_kt,2,,82.0,0.024390243902439025,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2020,lamps_kt,4,,214.0,0.018691588785046728,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2020,lamps_kt,3,,101.0,0.0297029702970297,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2020,lamps_kt,3,,82.0,0.036585365853658534,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2020,lamps_kt,1,,32.0,0.03125,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2020,lamps_kt,1,,19.0,0.05263157894736842,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2020,lamps_kt,1,,50.0,0.02,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2020,lamps_kt,8,,204.0,0.0392156862745098,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2020,lamps_kt,2,,42.0,0.047619047619047616,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2020,lamps_kt,7,,301.0,0.023255813953488372,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2021,lamps_kt,10,,502.0,0.0199203187250996,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2021,lamps_kt,2,,85.0,0.023529411764705882,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2021,lamps_kt,4,,222.0,0.018018018018018018,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2021,lamps_kt,3,,105.0,0.02857142857142857,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2021,lamps_kt,3,,87.0,0.034482758620689655,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2021,lamps_kt,1,,34.0,0.029411764705882353,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2021,lamps_kt,1,,20.0,0.05,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2021,lamps_kt,1,,52.0,0.019230769230769232,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2021,lamps_kt,9,,212.0,0.04245283018867924,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2021,lamps_kt,2,,43.0,0.046511627906976744,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2021,lamps_kt,7,,303.0,0.0231023102310231,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2022,lamps_kt,10,,517.0,0.019342359767891684,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2022,lamps_kt,2,,89.0,0.02247191011235955,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2022,lamps_kt,4,,230.0,0.017391304347826087,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2022,lamps_kt,4,,108.0,0.037037037037037035,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2022,lamps_kt,4,,92.0,0.043478260869565216,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2022,lamps_kt,2,,36.0,0.05555555555555555,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2022,lamps_kt,1,,21.0,0.047619047619047616,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2022,lamps_kt,1,,54.0,0.018518518518518517,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
