country,year,category,kt,value,e_waste_generated_kt_x,share_x,population,e_waste_generated_kt_y,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,gdp_per_capita,average_household_size,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh,share_y
Peru,2022,lamps_kt,9,,221.0,0.04072398190045249,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2022,lamps_kt,2,,44.0,0.045454545454545456,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2022,lamps_kt,7,,303.0,0.0231023102310231,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2018,large_equipment_kt,138,,454.0,0.3039647577092511,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,large_equipment_kt,17,,75.0,0.22666666666666666,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,large_equipment_kt,55,,196.0,0.28061224489795916,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,large_equipment_kt,12,,92.0,0.13043478260869565,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,large_equipment_kt,9,,73.0,0.1232876712328767,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,large_equipment_kt,4,,29.0,0.13793103448275862,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,large_equipment_kt,2,,17.0,0.11764705882352941,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,large_equipment_kt,11,,44.0,0.25,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,large_equipment_kt,21,,186.0,0.11290322580645161,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,large_equipment_kt,8,,40.0,0.2,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,large_equipment_kt,79,,291.0,0.27147766323024053,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,large_equipment_kt,144,,471.0,0.3057324840764331,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,large_equipment_kt,18,,80.0,0.225,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,large_equipment_kt,58,,205.0,0.28292682926829266,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,large_equipment_kt,13,,97.0,0.13402061855670103,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,large_equipment_kt,9,,78.0,0.11538461538461539,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,large_equipment_kt,4,,30.0,0.13333333333333333,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,large_equipment_kt,2,,18.0,0.1111111111111111,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,large_equipment_kt,12,,47.0,0.2553191489361702,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,large_equipment_kt,23,,196.0,0.11734693877551021,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,large_equipment_kt,8,,41.0,0.1951219512195122,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2019,large_equipment_kt,81,,297.0,0.2727272727272727,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2020,large_equipment_kt,149,,487.0,0.3059548254620123,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2020,large_equipment_kt,19,,82.0,0.23170731707317074,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2020,large_equipment_kt,60,,214.0,0.2803738317757009,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2020,large_equipment_kt,14,,101.0,0.13861386138613863,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2020,large_equipment_kt,10,,82.0,0.12195121951219512,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2020,large_equipment_kt,4,,32.0,0.125,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2020,large_equipment_kt,2,,19.0,0.10526315789473684,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2020,large_equipment_kt,13,,50.0,0.26,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2020,large_equipment_kt,25,,204.0,0.12254901960784313,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2020,large_equipment_kt,9,,42.0,0.21428571428571427,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2020,large_equipment_kt,82,,301.0,0.2724252491694352,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2021,large_equipment_kt,153,,502.0,0.3047808764940239,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2021,large_equipment_kt,20,,85.0,0.23529411764705882,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2021,large_equipment_kt,63,,222.0,0.28378378378378377,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2021,large_equipment_kt,15,,105.0,0.14285714285714285,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2021,large_equipment_kt,11,,87.0,0.12643678160919541,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2021,large_equipment_kt,5,,34.0,0.14705882352941177,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2021,large_equipment_kt,2,,20.0,0.1,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2021,large_equipment_kt,14,,52.0,0.2692307692307692,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2021,large_equipment_kt,27,,212.0,0.12735849056603774,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2021,large_equipment_kt,9,,43.0,0.20930232558139536,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2021,large_equipment_kt,82,,303.0,0.2706270627062706,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2022,large_equipment_kt,158,,517.0,0.3056092843326886,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2022,large_equipment_kt,21,,89.0,0.23595505617977527,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2022,large_equipment_kt,65,,230.0,0.2826086956521739,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2022,large_equipment_kt,16,,108.0,0.14814814814814814,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2022,large_equipment_kt,12,,92.0,0.13043478260869565,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2022,large_equipment_kt,5,,36.0,0.1388888888888889,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2022,large_equipment_kt,2,,21.0,0.09523809523809523,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2022,large_equipment_kt,14,,54.0,0.25925925925925924,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2022,large_equipment_kt,29,,221.0,0.13122171945701358,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2022,large_equipment_kt,9,,44.0,0.20454545454545456,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2022,large_equipment_kt,81,,303.0,0.26732673267326734,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2018,small_equipment_kt,134,,454.0,0.29515418502202645,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,small_equipment_kt,35,,75.0,0.4666666666666667,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,small_equipment_kt,58,,196.0,0.29591836734693877,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,small_equipment_kt,42,,92.0,0.45652173913043476,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,small_equipment_kt,34,,73.0,0.4657534246575342,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,small_equipment_kt,10,,29.0,0.3448275862068966,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,small_equipment_kt,7,,17.0,0.4117647058823529,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,small_equipment_kt,15,,44.0,0.3409090909090909,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,small_equipment_kt,85,,186.0,0.45698924731182794,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,small_equipment_kt,12,,40.0,0.3,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,small_equipment_kt,83,,291.0,0.2852233676975945,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,small_equipment_kt,139,,471.0,0.2951167728237792,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,small_equipment_kt,38,,80.0,0.475,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,small_equipment_kt,61,,205.0,0.2975609756097561,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,small_equipment_kt,45,,97.0,0.4639175257731959,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,small_equipment_kt,35,,78.0,0.44871794871794873,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,small_equipment_kt,11,,30.0,0.36666666666666664,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,small_equipment_kt,7,,18.0,0.3888888888888889,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,small_equipment_kt,16,,47.0,0.3404255319148936,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,small_equipment_kt,90,,196.0,0.45918367346938777,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,small_equipment_kt,12,,41.0,0.2926829268292683,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2019,small_equipment_kt,85,,297.0,0.28619528619528617,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2020,small_equipment_kt,145,,487.0,0.29774127310061604,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2020,small_equipment_kt,38,,82.0,0.4634146341463415,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2020,small_equipment_kt,64,,214.0,0.29906542056074764,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2020,small_equipment_kt,46,,101.0,0.45544554455445546,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2020,small_equipment_kt,37,,82.0,0.45121951219512196,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2020,small_equipment_kt,12,,32.0,0.375,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2020,small_equipment_kt,8,,19.0,0.42105263157894735,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2020,small_equipment_kt,17,,50.0,0.34,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2020,small_equipment_kt,93,,204.0,0.45588235294117646,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2020,small_equipment_kt,13,,42.0,0.30952380952380953,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2020,small_equipment_kt,86,,301.0,0.2857142857142857,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2021,small_equipment_kt,152,,502.0,0.30278884462151395,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2021,small_equipment_kt,39,,85.0,0.4588235294117647,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2021,small_equipment_kt,67,,222.0,0.30180180180180183,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2021,small_equipment_kt,47,,105.0,0.44761904761904764,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2021,small_equipment_kt,39,,87.0,0.4482758620689655,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2021,small_equipment_kt,13,,34.0,0.38235294117647056,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2021,small_equipment_kt,8,,20.0,0.4,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2021,small_equipment_kt,18,,52.0,0.34615384615384615,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2021,small_equipment_kt,96,,212.0,0.4528301886792453,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2021,small_equipment_kt,13,,43.0,0.3023255813953488,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2021,small_equipment_kt,86,,303.0,0.2838283828382838,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2022,small_equipment_kt,158,,517.0,0.3056092843326886,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2022,small_equipment_kt,41,,89.0,0.4606741573033708,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2022,small_equipment_kt,69,,230.0,0.3,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2022,small_equipment_kt,48,,108.0,0.4444444444444444,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2022,small_equipment_kt,42,,92.0,0.45652173913043476,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2022,small_equipment_kt,14,,36.0,0.3888888888888889,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2022,small_equipment_kt,9,,21.0,0.42857142857142855,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2022,small_equipment_kt,18,,54.0,0.3333333333333333,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2022,small_equipment_kt,99,,221.0,0.4479638009049774,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2022,small_equipment_kt,14,,44.0,0.3181818181818182,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2022,small_equipment_kt,86,,303.0,0.2838283828382838,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2018,small_it_kt,30,,454.0,0.06607929515418502,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,small_it_kt,6,,75.0,0.08,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,small_it_kt,14,,196.0,0.07142857142857142,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,small_it_kt,8,,92.0,0.08695652173913043,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,small_it_kt,7,,73.0,0.0958904109589041,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,small_it_kt,3,,29.0,0.10344827586206896,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,small_it_kt,2,,17.0,0.11764705882352941,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,small_it_kt,3,,44.0,0.06818181818181818,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,small_it_kt,17,,186.0,0.0913978494623656,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,small_it_kt,3,,40.0,0.075,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,small_it_kt,20,,291.0,0.06872852233676977,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,small_it_kt,30,,471.0,0.06369426751592357,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,small_it_kt,6,,80.0,0.075,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,small_it_kt,14,,205.0,0.06829268292682927,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,small_it_kt,9,,97.0,0.09278350515463918,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,small_it_kt,7,,78.0,0.08974358974358974,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,small_it_kt,3,,30.0,0.1,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,small_it_kt,2,,18.0,0.1111111111111111,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,small_it_kt,3,,47.0,0.06382978723404255,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,small_it_kt,17,,196.0,0.08673469387755102,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,small_it_kt,3,,41.0,0.07317073170731707,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2019,small_it_kt,20,,297.0,0.06734006734006734,29314535.0,297.0,205.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2020,small_it_kt,30,,487.0,0.061601642710472276,44908441.0,487.0,632.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2020,small_it_kt,7,,82.0,0.08536585365853659,11862346.0,82.0,82.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2020,small_it_kt,15,,214.0,0.07009345794392523,19206688.0,214.0,349.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2020,small_it_kt,9,,101.0,0.0891089108910891,17487163.0,101.0,120.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2020,small_it_kt,8,,82.0,0.0975609756097561,17231172.0,82.0,113.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2020,small_it_kt,3,,32.0,0.09375,10041790.0,32.0,61.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2020,small_it_kt,2,,19.0,0.10526315789473684,6709705.0,19.0,26.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2020,small_it_kt,3,,50.0,0.06,4265541.0,50.0,74.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2020,small_it_kt,18,,204.0,0.08823529411764706,33090281.0,204.0,304.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2020,small_it_kt,3,,42.0,0.07142857142857142,3428271.0,42.0,59.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2020,small_it_kt,19,,301.0,0.06312292358803986,28628832.0,301.0,183.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2021,small_it_kt,30,,502.0,0.05976095617529881,45163623.0,502.0,673.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2021,small_it_kt,7,,85.0,0.08235294117647059,12009978.0,85.0,123.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2021,small_it_kt,15,,222.0,0.06756756756756757,19393941.0,222.0,351.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2021,small_it_kt,9,,105.0,0.08571428571428572,17690028.0,105.0,132.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2021,small_it_kt,8,,87.0,0.09195402298850575,17494265.0,87.0,149.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2021,small_it_kt,3,,34.0,0.08823529411764706,10201736.0,34.0,66.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2021,small_it_kt,2,,20.0,0.1,6802086.0,20.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2021,small_it_kt,4,,52.0,0.07692307692307693,4323252.0,52.0,75.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2021,small_it_kt,19,,212.0,0.08962264150943396,33519231.0,212.0,318.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2021,small_it_kt,3,,43.0,0.06976744186046512,3429902.0,43.0,61.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2021,small_it_kt,18,,303.0,0.0594059405940594,28352075.0,303.0,170.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2022,small_it_kt,31,,517.0,0.059961315280464215,45389937.0,517.0,672.0,3.0,14.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2022,small_it_kt,7,,89.0,0.07865168539325842,12148966.0,89.0,135.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2022,small_it_kt,16,,230.0,0.06956521739130435,19592428.0,230.0,354.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2022,small_it_kt,9,,108.0,0.08333333333333333,17905446.0,108.0,142.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2022,small_it_kt,8,,92.0,0.08695652173913043,17722702.0,92.0,167.0,1.0,1.0,17667.0,4.8,2.9,4.7,,
Honduras,2022,small_it_kt,3,,36.0,0.08333333333333333,10354955.0,36.0,74.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2022,small_it_kt,2,,21.0,0.09523809523809523,6898994.0,21.0,29.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2022,small_it_kt,4,,54.0,0.07407407407407407,4379282.0,54.0,81.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2022,small_it_kt,19,,221.0,0.08597285067873303,33911712.0,221.0,335.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2022,small_it_kt,3,,44.0,0.06818181818181818,3422617.0,44.0,60.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2022,small_it_kt,17,,303.0,0.056105610561056105,28047658.0,303.0,190.0,0.0,1.0,17527.0,3.3,9.5,9.9,0.04,
